Date,Time,Relative_time,Temperature,Resonance_Frequency,Dissipation
2021-07-05,15:33:51,82.31,28.03,14852927.63,2.9178816453602152e-05
2021-07-05,15:33:51,82.92,28.03,14852927.58,2.917954792815466e-05
2021-07-05,15:33:52,83.75,28.03,14852927.57,2.9179110932830758e-05
2021-07-05,15:33:53,84.37,28.03,14852927.52,2.9178986969395667e-05
2021-07-05,15:33:53,84.98,28.03,14852927.48,2.9179448481035918e-05
2021-07-05,15:33:54,85.6,28.03,14852927.45,2.9178712779574246e-05
2021-07-05,15:33:55,86.41,28.04,14852927.39,2.9179528844105456e-05
2021-07-05,15:33:55,87.04,28.04,14852927.35,2.917993380955984e-05
2021-07-05,15:33:56,87.66,28.04,14852927.3,2.918112370893124e-05
2021-07-05,15:33:57,88.27,28.03,14852927.24,2.9182428968687045e-05
2021-07-05,15:33:57,88.89,28.03,14852927.2,2.9181908765634e-05
2021-07-05,15:33:58,89.72,28.04,14852927.16,2.918193589616951e-05
2021-07-05,15:33:59,90.34,28.04,14852927.12,2.91811383849074e-05
2021-07-05,15:33:59,90.97,28.04,14852927.08,2.918143560509813e-05
2021-07-05,15:34:00,91.58,28.04,14852927.04,2.9180978327725366e-05
2021-07-05,15:34:01,92.22,28.04,14852927.0,2.9180982943673448e-05
2021-07-05,15:34:01,93.04,28.04,14852926.96,2.9182622740327278e-05
2021-07-05,15:34:02,93.66,28.04,14852926.92,2.918335171066731e-05
2021-07-05,15:34:03,94.27,28.04,14852926.89,2.9184278439509463e-05
2021-07-05,15:34:03,94.9,28.04,14852926.85,2.9185002017850208e-05
2021-07-05,15:34:04,95.7,28.04,14852926.79,2.9184742596372686e-05
2021-07-05,15:34:05,96.33,28.04,14852926.74,2.918643931689168e-05
2021-07-05,15:34:05,96.96,28.04,14852926.69,2.918635825708813e-05
2021-07-05,15:34:06,97.58,28.04,14852926.64,2.9186839327204707e-05
2021-07-05,15:34:07,98.19,28.04,14852926.59,2.9188438761938344e-05
2021-07-05,15:34:07,99.03,28.04,14852926.55,2.9187416721525583e-05
2021-07-05,15:34:08,99.66,28.04,14852926.53,2.9187920380611487e-05
2021-07-05,15:34:09,100.27,28.04,14852926.49,2.9187967282443714e-05
2021-07-05,15:34:09,100.9,28.04,14852926.44,2.9187697083664843e-05
2021-07-05,15:34:10,101.52,28.04,14852926.39,2.918945269009238e-05
2021-07-05,15:34:11,102.33,28.04,14852926.35,2.919120746088606e-05
2021-07-05,15:34:11,102.94,28.05,14852926.29,2.9191661561369294e-05
2021-07-05,15:34:12,103.55,28.04,14852926.28,2.9191002959229418e-05
2021-07-05,15:34:13,104.18,28.05,14852926.23,2.9192078529997823e-05
2021-07-05,15:34:13,105.0,28.05,14852926.2,2.9193890236617435e-05
2021-07-05,15:34:14,105.62,28.05,14852926.17,2.9193618550375582e-05
2021-07-05,15:34:15,106.24,28.05,14852926.13,2.9194040545451306e-05
2021-07-05,15:34:15,106.87,28.05,14852926.1,2.9194317967292197e-05
2021-07-05,15:34:16,107.69,28.05,14852926.06,2.919470093472845e-05
2021-07-05,15:34:17,108.31,28.05,14852926.02,2.9194703169987422e-05
2021-07-05,15:34:17,108.93,28.05,14852925.98,2.9194931485280587e-05
2021-07-05,15:34:18,109.54,28.05,14852925.94,2.9194823165675216e-05
2021-07-05,15:34:19,110.17,28.05,14852925.9,2.919500505437275e-05
2021-07-05,15:34:19,110.99,28.05,14852925.86,2.919532986272168e-05
2021-07-05,15:34:20,111.62,28.05,14852925.82,2.9195538914680027e-05
2021-07-05,15:34:21,112.25,28.05,14852925.78,2.91955990535984e-05
2021-07-05,15:34:21,112.88,28.05,14852925.74,2.9195414846659636e-05
2021-07-05,15:34:22,113.49,28.05,14852925.71,2.9195933961563755e-05
2021-07-05,15:34:23,114.32,28.06,14852925.66,2.9196545589642322e-05
2021-07-05,15:34:23,114.94,28.06,14852925.65,2.919662395020024e-05
2021-07-05,15:34:24,115.56,28.06,14852925.62,2.919709555575807e-05
2021-07-05,15:34:25,116.19,28.06,14852925.58,2.9198040575756948e-05
2021-07-05,15:34:25,116.81,28.06,14852925.55,2.9198958672331438e-05
2021-07-05,15:34:26,117.46,28.06,14852925.51,2.920008968172088e-05
2021-07-05,15:34:27,118.28,28.06,14852925.49,2.9199732592036652e-05
2021-07-05,15:34:27,118.9,28.06,14852925.45,2.9200029885578257e-05
2021-07-05,15:34:28,119.5,28.06,14852925.43,2.919984190139168e-05
2021-07-05,15:34:29,120.12,28.06,14852925.38,2.9200291872141936e-05
2021-07-05,15:34:29,120.96,28.06,14852925.33,2.9201018862982652e-05
2021-07-05,15:34:30,121.58,28.06,14852925.3,2.9201109189694894e-05
2021-07-05,15:34:31,122.19,28.06,14852925.26,2.9202373715825805e-05
2021-07-05,15:34:31,122.82,28.06,14852925.22,2.9203512765264393e-05
2021-07-05,15:34:32,123.45,28.06,14852925.18,2.9204594342231843e-05
2021-07-05,15:34:33,124.25,28.06,14852925.14,2.920473997423928e-05
2021-07-05,15:34:33,124.88,28.06,14852925.1,2.9206366691032324e-05
2021-07-05,15:34:34,125.49,28.06,14852925.06,2.9206745820697296e-05
2021-07-05,15:34:35,126.12,28.07,14852925.02,2.920674228460346e-05
2021-07-05,15:34:35,126.95,28.07,14852924.98,2.9206184849012458e-05
2021-07-05,15:34:36,127.57,28.07,14852924.95,2.920695080446663e-05
2021-07-05,15:34:37,128.2,28.07,14852924.9,2.9207149752548727e-05
2021-07-05,15:34:37,128.8,28.07,14852924.89,2.9207115986085438e-05
2021-07-05,15:34:38,129.42,28.07,14852924.87,2.9206779544019276e-05
2021-07-05,15:34:39,130.24,28.07,14852924.82,2.9207381869172517e-05
2021-07-05,15:34:39,130.86,28.07,14852924.81,2.92077692952499e-05
2021-07-05,15:34:40,131.49,28.07,14852924.78,2.920676398189549e-05
2021-07-05,15:34:41,132.11,28.07,14852924.74,2.920856108951819e-05
2021-07-05,15:34:41,132.75,28.07,14852924.71,2.9209335891521426e-05
2021-07-05,15:34:42,133.55,28.07,14852924.63,2.921121137811456e-05
2021-07-05,15:34:43,134.18,28.07,14852924.61,2.921220094627142e-05
2021-07-05,15:34:43,134.81,28.07,14852924.61,2.9211454585865334e-05
2021-07-05,15:34:44,135.44,28.07,14852924.58,2.9211818164514774e-05
2021-07-05,15:34:44,136.06,28.07,14852924.55,2.9213626208270445e-05
2021-07-05,15:34:45,136.88,28.07,14852924.5,2.9213517783525443e-05
2021-07-05,15:34:46,137.5,28.07,14852924.49,2.9213755754883205e-05
2021-07-05,15:34:47,138.12,28.07,14852924.44,2.921331450415448e-05
2021-07-05,15:34:47,138.73,28.07,14852924.38,2.9215193513419973e-05
2021-07-05,15:34:48,139.56,28.07,14852924.35,2.921678422110251e-05
2021-07-05,15:34:49,140.19,28.07,14852924.34,2.9217093804222333e-05
2021-07-05,15:34:49,140.81,28.07,14852924.29,2.9218705034859162e-05
2021-07-05,15:34:50,141.42,28.07,14852924.27,2.921826865952295e-05
2021-07-05,15:34:50,142.05,28.07,14852924.21,2.921958023100652e-05
2021-07-05,15:34:51,142.88,28.08,14852924.17,2.9220595106238663e-05
2021-07-05,15:34:52,143.51,28.08,14852924.15,2.9221804570956957e-05
2021-07-05,15:34:53,144.14,28.08,14852924.11,2.9223276429649507e-05
2021-07-05,15:34:53,144.77,28.08,14852924.08,2.9224669595337327e-05
2021-07-05,15:34:54,145.4,28.08,14852924.04,2.92262105303833e-05
2021-07-05,15:34:54,146.02,28.08,14852924.01,2.92272439283603e-05
2021-07-05,15:34:55,146.85,28.08,14852923.97,2.9227719419358975e-05
2021-07-05,15:34:56,147.46,28.08,14852923.94,2.9228648191653176e-05
