Time,Relative_time,fundamental_freq,fundamental_dis,3rd_freq,3rd_dis,5th_freq,5th_dis,7th_freq,7th_dis,9th_freq,9th_dis
9:11:04,2613.222,14.277707852423191,2.8107325635104256e-05,46.27795804478228,0.0001964278008083145,12.989386836998165,3.673448556582026e-05,7.21220719255507,4.473378637413327e-05,-1.3198351291939616,-8.429739260969963e-05
9:11:05,2614.466,14.437707852572203,2.8080325635104156e-05,46.39795804396272,0.00019669380080831415,12.937386836856604,3.6368485565820355e-05,6.995064334943891,4.144078637413357e-05,-1.2909462405368686,-8.317039260969956e-05
9:11:06,2615.723,14.61770785227418,2.8028325635104205e-05,46.29462471045554,0.0001965538008083141,12.931386835873127,3.5721485565820034e-05,7.136492906138301,4.346078637413372e-05,-1.2898351289331913,-8.299739260969954e-05
9:11:07,2616.976,14.447707852348685,2.802032563510408e-05,46.4946247106418,0.00019768080080831418,13.18938683718443,3.7728485565820084e-05,7.156492906622589,4.456078637413326e-05,-1.1553906854242086,-8.010339260969973e-05
9:11:09,2618.468,14.657707852311432,2.8033325635104175e-05,46.6746247112751,0.00019839380080831446,13.323386836796999,3.802148556582025e-05,7.197921477258205,4.304078637413361e-05,-1.0442795734852552,-7.853039260969936e-05
9:11:09,2618.469,14.657707852311432,2.8033325635104175e-05,46.6746247112751,0.00019839380080831446,13.323386836796999,3.802148556582025e-05,7.197921477258205,4.304078637413361e-05,-1.0442795734852552,-7.853039260969936e-05
9:11:10,2619.471,14.777707852423191,2.7995325635104228e-05,46.65462471079081,0.00019858080080831404,13.187386836856604,3.6814485565820655e-05,7.260778619907796,4.357378637413322e-05,-1.2542795734480023,-8.207039260970002e-05
9:11:11,2620.977,14.777707852423191,2.8011325635104263e-05,46.30129137728363,0.00019568780080831457,13.325386837124825,3.7881485565820217e-05,7.313635763712227,4.34677863741335e-05,-1.5176129071041942,-8.664339260969992e-05
9:11:12,2622.038,14.767707852646708,2.8065325635104246e-05,46.50795804429799,0.0001971278008083147,13.221386836841702,3.731448556582029e-05,7.11077862046659,4.298078637413397e-05,-1.6065017953515053,-8.825739260969953e-05
9:11:14,2623.464,14.767707852646708,2.8088325635104066e-05,46.607958043925464,0.00019796780080831404,13.33738683629781,3.842148556582048e-05,7.136492906138301,4.3473786374133815e-05,-1.8631684621796012,-9.241739260969998e-05
9:11:15,2624.719,14.947707852348685,2.7999325635104074e-05,46.84795804414898,0.00019828780080831474,13.239386836998165,3.916148556582042e-05,7.155064335092902,4.34807863741336e-05,-1.4531684629619122,-8.513039260970006e-05
9:11:17,2626.224,15.137707852758467,2.80143256351042e-05,46.79462471045554,0.00019906080080831466,13.121386837214231,3.6314485565820155e-05,7.2850643349811435,4.6787786374133736e-05,-1.0209462400525808,-7.777039260969953e-05
9:11:17,2626.224,15.137707852758467,2.80143256351042e-05,46.79462471045554,0.00019906080080831466,13.121386837214231,3.6314485565820155e-05,7.2850643349811435,4.6787786374133736e-05,-1.0209462400525808,-7.777039260969953e-05
9:11:18,2627.226,15.307707852683961,2.808632563510425e-05,47.33462471142411,0.0002013738008083141,13.207386836409569,3.588148556581995e-05,7.249350048601627,4.7193786374133406e-05,-1.6320573519915342,-8.831039260969939e-05
9:11:19,2628.474,15.257707852870226,2.8152325635104206e-05,47.621291377581656,0.00020268780080831463,13.03138683643192,3.440148556582007e-05,7.065064335241914,4.888078637413362e-05,-1.2253906847909093,-8.164339260970013e-05
9:11:20,2629.967,15.42770785279572,2.8045325635104148e-05,47.20462471060455,0.00020134780080831478,13.099386836402118,3.354848556582062e-05,7.1836357628926635,5.0360786374133507e-05,-1.4131684629246593,-8.45773926096997e-05
9:11:20,2629.969,15.42770785279572,2.8045325635104148e-05,47.20462471060455,0.00020134780080831478,13.099386836402118,3.354848556582062e-05,7.1836357628926635,5.0360786374133507e-05,-1.4131684629246593,-8.45773926096997e-05
9:11:21,2630.971,15.187707852572203,2.8063325635104214e-05,46.80795804411173,0.00019967380080831466,13.041386836208403,3.196148556582068e-05,7.2707786206156015,5.286778637413319e-05,-1.0442795734852552,-7.857739260969977e-05
9:11:24,2633.473,15.627707852050662,2.793832563510409e-05,46.93462471105158,0.00020100080080831442,12.86338683590293,3.292148556582018e-05,7.340778620913625,5.2753786374133346e-05,-1.1909462409093976,-8.20773926096998e-05
9:11:25,2634.968,15.777707852423191,2.7820325635104183e-05,46.95462471060455,0.00020100080080831442,12.835386836901307,3.1674485565819956e-05,7.32649290561676,5.2400786374133534e-05,-1.590946240350604,-8.857739260969937e-05
9:11:26,2636.036,15.637707852758467,2.7869325635104195e-05,47.21462471038103,0.00020386780080831456,12.841386836022139,3.329448556582074e-05,7.32363576348871,5.263378637413319e-05,-1.743168462999165,-9.089039260969968e-05
9:11:28,2637.294,15.667707852087915,2.7921325635104147e-05,47.47129137814045,0.00020632080080831405,12.787386836484075,3.1934485565820146e-05,7.352207191288471,5.368078637413374e-05,-1.7053906843066216,-9.016339260969983e-05
9:11:29,2638.725,15.767707852646708,2.7914325635104145e-05,47.53795804455876,0.00020698780080831425,13.035386837087572,3.396148556582008e-05,7.093635763972998,4.900778637413356e-05,-1.5298351291567087,-8.706339260970003e-05
9:11:31,2640.219,15.89770785253495,2.7897325635104202e-05,47.34795804414898,0.00020361380080831468,13.047386836260557,3.4568485565820636e-05,7.17792147770524,4.902078637413366e-05,-1.4920573513954878,-8.62303926096996e-05
9:11:31,2640.219,15.89770785253495,2.7897325635104202e-05,47.34795804414898,0.00020361380080831468,13.047386836260557,3.4568485565820636e-05,7.17792147770524,4.902078637413366e-05,-1.4920573513954878,-8.62303926096996e-05
9:11:32,2641.221,15.947707852348685,2.7976325635104254e-05,47.3379580443725,0.0002037608008083145,13.105386836454272,3.4601485565820614e-05,7.099350049160421,4.7207786374133844e-05,-1.6409462401643395,-8.753039260969969e-05
9:11:33,2642.474,16.067707852460444,2.7859325635104255e-05,47.39795804396272,0.0002044408008083148,12.813386836089194,3.380148556582016e-05,7.166492906399071,5.033378637413384e-05,-1.4720573509112,-8.469739260969986e-05
