Time_(s)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()
12727.03404	0.123913555	0.043613777	0.112858157	0.078710381	-0.015109043	2.20E-08	-4.62E-08	-1.58E-08	-2.09E-08	4.26E-09
12727.83606	0.007479308	-0.06111454	0.0279404	0.062243935	-0.099444909	-2.66E-08	-1.13E-07	3.79E-08	-1.48E-07	1.05E-07
12728.6382	0.109387153	-0.070983386	-0.064354445	-0.111284412	-0.27231282	-2.66E-09	-3.93E-08	-2.53E-08	5.51E-08	2.59E-08
12729.44022	0.077694077	-0.086463343	0.030001882	0.152243343	-0.110280614	-3.29E-08	-5.66E-08	-6.64E-09	-1.00E-07	1.06E-07
12730.24223	0.143230277	-0.047735002	-0.028400597	-0.013734011	-0.091465418	-5.04E-08	-3.82E-08	1.54E-08	-1.37E-07	2.42E-07
12731.04426	0.114519553	0.017312649	-0.155071771	0.018768761	-0.267496593	-1.68E-08	-9.84E-09	-4.61E-08	-2.15E-07	1.05E-07
12731.84633	0.040074011	-0.014043017	-0.126700116	-0.019391575	-0.151478242	-1.90E-08	-2.77E-08	-3.43E-08	-1.87E-07	8.93E-08
12732.64835	0.092601675	0.009916614	0.084388639	0.003182887	-0.130416548	-1.13E-09	-6.25E-08	-4.79E-08	-1.28E-07	1.31E-07
12733.4503	0.024520946	0.010151476	-0.119560055	0.114837545	-0.167152331	-4.80E-08	-9.15E-09	3.64E-09	-8.97E-08	5.61E-08
12734.2523	0.016366819	6.79E-04	-0.083501872	-0.084072648	-0.125394729	-3.21E-08	-9.32E-08	-7.81E-08	-9.13E-08	-1.36E-09
12735.0543	-0.008293821	-0.02311847	0.127522524	0.030318771	-0.401330682	-1.11E-08	-6.11E-08	-8.16E-08	-8.50E-08	7.14E-08
12735.85637	-0.002043316	3.90E-04	-0.078048276	0.040296607	-0.059267075	-5.60E-08	-1.36E-08	-9.22E-10	-1.46E-07	1.72E-07
12736.65845	0.017101374	0.058812506	0.031103221	-0.144502368	0.045899607	-1.90E-08	1.21E-08	-2.57E-08	-9.57E-08	1.15E-07
12737.46043	0.001013408	-0.040135235	-0.092995591	-0.104330619	-0.135431773	-3.92E-08	-6.04E-08	4.65E-08	-6.22E-08	6.96E-08
12738.26249	0.083003104	-0.019142728	0.078615904	0.075479724	-0.193514999	7.81E-10	-2.77E-08	-2.91E-08	-6.30E-08	2.36E-09
12739.06452	0.08651858	-0.004970737	-0.070239781	-0.151360514	-0.200955348	1.80E-08	-4.32E-08	-9.52E-08	-1.01E-08	2.36E-08
12739.86651	-0.009568273	0.010673313	0.022867096	0.218284862	-0.189480941	-7.38E-09	-4.97E-08	-7.83E-08	-7.00E-08	6.49E-08
12740.66857	0.023815439	-0.061869895	0.022601141	4.39E-04	-0.225915163	-2.56E-08	-4.49E-08	-8.19E-08	-6.95E-08	-7.60E-08
12741.47062	0.087946496	0.031641681	-0.056007646	-0.017251263	-0.160659623	-2.29E-08	-2.85E-08	-2.87E-08	-5.44E-08	5.29E-08
12742.27272	-0.030390454	0.014336532	-0.06577224	0.032601767	-0.174650419	-5.77E-09	-4.30E-08	-7.88E-08	-8.32E-08	-1.89E-08
12743.07483	0.01274727	-0.153683823	-0.143366128	-0.198969217	-0.231120061	1.17E-08	-4.67E-08	-8.28E-09	-8.64E-08	7.90E-08
12743.87691	0.043753271	-0.027375795	0.023273921	0.093791492	-0.142774255	-7.82E-09	-3.77E-08	-7.97E-09	-1.62E-07	1.84E-07
12744.67895	0.074593538	0.012286406	-0.066863606	0.045664286	-0.213039144	-1.96E-08	-3.80E-08	-4.78E-08	-1.24E-07	-1.77E-07
12745.4809	0.052402988	-0.083654446	-0.07160231	-0.093875523	-0.377837829	-3.35E-08	-1.07E-07	-1.81E-08	1.04E-08	1.06E-07
12746.28291	0.041937448	-0.078076841	-0.174852008	-0.057900039	-0.226517612	-1.81E-08	-6.26E-08	-3.08E-08	-7.52E-08	-4.76E-08
12747.08493	0.100159258	-0.044740684	0.031609563	-0.05721086	-0.126476146	-3.22E-08	-7.13E-08	5.62E-09	-1.15E-07	7.44E-09
12747.88696	0.064171014	0.058954196	-0.107369022	0.050107226	-0.152071677	-3.91E-08	-5.17E-08	-7.02E-08	-7.61E-08	7.31E-08
12748.689	0.096860743	0.111494798	-0.052057201	-0.139905118	-0.064289935	-2.74E-08	-5.06E-08	-2.50E-08	-9.68E-08	2.31E-08
