Time,fundamental_dis,fundamental_freq,3rd_dis,3rd_freq,5th_dis,5th_freq,7th_dis,7th_freq,9th_dis,9th_freq,11th_dis,11th_freq,13th_dis,13th_freq,Temp
2134.2256801,0.0002478935013859,4959787.32982232,0.0001280301972883,14862146.8490022,9.80538075148081e-05,24767252.0942281,8.54402532869898e-05,34670912.9011164,7.95348997806212e-05,44575302.4768385,7.66987845882738e-05,54479354.5805461,7.41735404945233e-05,64384075.8470129,25.0035858154297
2139.260236,0.0002476767962524,4959788.74910116,0.0001277169768809,14862148.557143,9.77575721466451e-05,24767254.7085551,8.5398551795767e-05,34670916.4973439,7.95304530169942e-05,44575304.1063542,7.64279947084443e-05,54479362.7497693,7.34292441665137e-05,64384073.7970544,25.0037460327148
2144.298917,0.0002473045473449,4959789.89827827,0.000127439155193,14862150.8147045,9.75341338827286e-05,24767257.4662767,8.51534006635023e-05,34670923.5544278,7.89705134041042e-05,44575310.5730088,7.59956440334976e-05,54479370.0974439,7.40998463117721e-05,64384075.371844,24.9985580444336
2149.3452645,0.0002470479089556,4959790.68183338,0.000127297860664,14862152.7649163,9.72755070642793e-05,24767259.3397528,8.49407061565764e-05,34670927.7378991,7.9337223590303e-05,44575308.4855104,7.5918104670182e-05,54479372.9875893,7.35465278518388e-05,64384084.0829869,25.0045127868652
2154.3839239,0.0002468131358962,4959791.45619059,0.0001270427342583,14862155.5342293,9.69455452148908e-05,24767260.0202686,8.46187970357659e-05,34670930.1608921,7.87936842871581e-05,44575304.5488393,7.58499630776886e-05,54479371.3184344,7.36596329385574e-05,64384081.073855,24.996561050415
2159.4146786,0.000246331178705,4959791.73989059,0.0001265549465914,14862155.7620967,9.66376176220195e-05,24767257.5538767,8.42724393988461e-05,34670922.1174138,7.84969918150863e-05,44575301.798512,7.5543248138723e-05,54479357.4765682,7.31703307768626e-05,64384075.3106029,25.0043544769287
2164.4544081,0.0002459608051319,4959791.59940769,0.00012612687741,14862153.7225764,9.63843493893942e-05,24767252.7938886,8.40156681216471e-05,34670915.9135728,7.85510067660212e-05,44575297.0804131,7.51783378656032e-05,54479350.8234267,7.30548302765989e-05,64384062.2769341,24.9983596801758
2169.4949251,0.000245713080373,4959791.20910245,0.0001258509650139,14862151.8034492,9.62767497021487e-05,24767250.8603302,8.37845672080129e-05,34670910.7918802,7.83770677828703e-05,44575298.7789088,7.51335431353802e-05,54479347.323589,7.28819239604973e-05,64384057.1160276,24.9977149963379
2174.5395522,0.0002458458743438,4959790.78488787,0.0001257519092084,14862149.7421524,9.59951844635111e-05,24767249.5074756,8.35858217500517e-05,34670906.0559786,7.8042399462501e-05,44575281.9631145,7.5152408609952e-05,54479345.9280979,7.26802062198616e-05,64384056.0395721,24.9939136505127
2179.5846391,0.000245930473848,4959790.81793129,0.0001256664805628,14862149.5142452,9.58699649777132e-05,24767248.8731303,8.37584419719791e-05,34670906.9886397,7.77826530834364e-05,44575291.7703759,7.48846513705312e-05,54479352.9167356,7.23520388816736e-05,64384048.4128764,25.0047264099121
2184.6263436,0.0002458103544406,4959790.71571206,0.0001257050764974,14862149.6958282,9.58733994541211e-05,24767250.992236,8.35707359262725e-05,34670914.644379,7.74918526421482e-05,44575296.4198803,7.48180967222308e-05,54479357.2263149,7.28595257999177e-05,64384072.3771995,24.9965591430664
