Time,fundamental_freq,fundamental_dis,3rd_freq,3rd_dis,5th_freq,5th_dis,7th_freq,7th_dis,9th_freq,9th_dis,11th_freq,11th_dis,13th_freq,13th_dis,Temp
3320.4510827,4960864.585992,0.0001877455466722,14865988.411452,0.0001004097882027,24773404.9359004,7.96627140515004e-05,34679471.087841,6.85994867338395e-05,44586273.4071199,6.31562855450505e-05,54492892.3174522,5.89650818090316e-05,64400102.4409185,5.6815886044609e-05,25.0043258666992
3325.4915373,4960864.59590451,0.000187810153423,14865988.2651742,0.0001004404292789,24773405.1364546,7.97131345999161e-05,34679471.4954016,6.85713766430386e-05,44586273.5132777,6.32969725588753e-05,54492890.0695332,5.89341844147018e-05,64400105.2645607,5.67012410725434e-05,25.0083084106445
3330.5331499,4960864.57363177,0.000187783817452,14865988.2978656,0.0001004399685127,24773404.6621939,7.96968860547573e-05,34679471.1915296,6.86031430180738e-05,44586274.8960558,6.33090351953046e-05,54492890.469476,5.89660841134133e-05,64400108.0857239,5.6795803981802e-05,24.9845371246338
3335.5888673,4960864.64308723,0.0001877811170418,14865988.3319565,0.0001004242195758,24773404.7195746,7.96928858834076e-05,34679471.611553,6.8598720632369e-05,44586271.1813082,6.32426993055183e-05,54492892.5525042,5.89797401990285e-05,64400105.9000201,5.69238143088971e-05,24.9992122650146
3340.6436394,4960864.49372892,0.0001877752053944,14865988.3627241,0.0001004102173299,24773404.5463691,7.96894283311318e-05,34679470.5607396,6.85815138172242e-05,44586272.5610863,6.33325700923161e-05,54492891.1489099,5.89495592164899e-05,64400107.0448184,5.68818448156805e-05,25.0080623626709
3345.6900286,4960864.02280103,0.0001885134163068,14865988.4238521,0.0001006218887452,24773404.9859763,7.97639945097095e-05,34679471.5037182,6.86867601555686e-05,44586273.8270216,6.34164912838723e-05,54492892.7865552,5.90496824558386e-05,64400103.4367448,5.69348506340595e-05,24.9979019165039
3350.7315957,4960864.15910233,0.0001881499494133,14865987.3839286,0.0001004887808205,24773403.2521443,7.97452011917319e-05,34679467.4600559,6.86850497370335e-05,44586268.0750876,6.33000882756626e-05,54492881.7701137,5.90402043514972e-05,64400099.5130605,5.69720507956564e-05,24.9975242614746
3355.7736286,4960862.72959964,0.0001879304698679,14865981.5794236,0.0001006129972697,24773392.6515678,7.9997592777073e-05,34679453.1660986,6.90160552118141e-05,44586251.7597664,6.35711777728122e-05,54492866.364924,5.92459193980052e-05,64400076.3269906,5.71524121138411e-05,25.0093288421631
3360.8142075,4960858.40122088,0.0001881207775476,14865969.680292,0.0001010996819872,24773377.9080114,8.04903898209441e-05,34679438.6215911,6.93779072682822e-05,44586237.8225367,6.38446703783091e-05,54492843.4908729,5.9657581837801e-05,64400044.6897074,5.75996952367076e-05,25.0132999420166
3365.8591096,4960855.23318275,0.0001884053874742,14865962.43687,0.000101457577773,24773367.2209635,8.08576546888618e-05,34679422.118376,6.980397367354e-05,44586211.8034034,6.433311650532e-05,54492818.6847935,6.01016351980515e-05,64400023.0460858,5.78945283424046e-05,25.0015468597412
3370.903069,4960852.64618837,0.0001884951474171,14865953.9576294,0.0001018015273247,24773354.0400518,8.1363335645384e-05,34679408.283943,7.02658282732768e-05,44586203.5848746,6.45762147345326e-05,54492813.1592584,6.00435080363442e-05,64400015.008346,5.80067439554946e-05,25.0014324188232
3375.9593808,4960849.90999983,0.0001886849156494,14865949.8142503,0.0001021120948299,24773352.4456454,8.14084612737684e-05,34679408.8798698,7.00762556398386e-05,44586203.7843774,6.4427074078379e-05,54492803.302116,6.01411984148406e-05,64400000.6193762,5.80931786885734e-05,24.9968795776367
3381.009969,4960850.58981641,0.0001885476328839,14865951.389457,0.000101848905125,24773351.5210514,8.12395924751762e-05,34679403.7125625,7.00270246633172e-05,44586190.5192742,6.45690023459667e-05,54492792.4898517,6.01815648932942e-05,64399994.7173259,5.78343506752198e-05,24.9931716918945
3386.0572525,4960850.86185034,0.0001883634130537,14865948.6036677,0.0001017544318382,24773345.2453015,8.12749645034824e-05,34679398.1390495,7.00488449286917e-05,44586193.3117571,6.44736592737766e-05,54492798.8166641,5.99640040456967e-05,64400004.9047353,5.77092543965203e-05,25.0019969940186
3391.0944804,4960850.29789361,0.0001885042917652,14865949.770522,0.0001017154568871,24773351.1764929,8.09528849261872e-05,34679404.567022,6.97341709657669e-05,44586194.1012922,6.42197391539039e-05,54492792.8229666,5.99413729695654e-05,64399983.9079299,5.77664304626382e-05,24.9924640655518
3396.1391395,4960852.76696368,0.0001882645881715,14865954.9719411,0.0001012649213731,24773353.8363564,8.06291317860543e-05,34679402.5474225,6.95907310382707e-05,44586188.6427586,6.42162576614394e-05,54492792.057442,5.98609441595368e-05,64399996.638257,5.76525489227761e-05,25.0105800628662
3401.17015,4960853.78621517,0.0001881463894869,14865954.3828264,0.0001011616049748,24773350.6058842,8.05688382233541e-05,34679403.918974,6.94902523058893e-05,44586195.5112567,6.40305907911819e-05,54492802.3744781,5.96103730536544e-05,64400003.6492874,5.75396615881775e-05,25.0118370056152
3406.2112403,4960853.76104481,0.0001881687375496,14865957.3156072,0.0001011229279329,24773359.3539012,8.02842525684383e-05,34679412.7753435,6.92383854444303e-05,44586200.8536891,6.37302526831528e-05,54492798.395114,5.96240056375853e-05,64399990.5849249,5.760362164784e-05,25.0171070098877
3411.2541389,4960855.87372682,0.0001880632898791,14865961.1139671,0.0001008686206454,24773360.8707798,8.01452892105964e-05,34679408.7149776,6.91456726121296e-05,44586192.4489765,6.38310851527841e-05,54492799.2024408,5.95233394678004e-05,64400004.7897454,5.74022948280276e-05,25.0121383666992
3416.3096402,4960855.87883023,0.0001880591084262,14865958.7093736,0.0001008907812347,24773356.3729208,8.0234583214102e-05,34679410.2270645,6.92496675776392e-05,44586202.7392626,6.37905851323366e-05,54492806.1999209,5.94782270897686e-05,64400003.3202096,5.715576976878e-05,24.9931926727295
3421.3569838,4960855.84156712,0.0001881031325377,14865962.2027209,0.0001008363828591,24773365.1679245,8.00109668219914e-05,34679417.5846832,6.89174563832381e-05,44586204.6141244,6.3677858423887e-05,54492801.2514292,5.93155284467026e-05,64399997.5289282,5.75355767113864e-05,25.0009155273438
3426.4038823,4960857.67638233,0.0001880054206054,14865964.978711,0.000100669807895,24773365.5589095,7.99202111532722e-05,34679412.699358,6.9056896873695e-05,44586198.78564,6.37386093211344e-05,54492806.0437399,5.93184991967713e-05,64400010.003906,5.71656068226983e-05,24.9870643615723
3431.4632431,4960857.32277364,0.0001879948425386,14865961.6469583,0.000100761742707,24773361.2356351,8.00306200316833e-05,34679415.2004329,6.90643220886305e-05,44586208.9759668,6.35082466957819e-05,54492808.8782831,5.93401717522357e-05,64400002.3454319,5.73930280369173e-05,24.9986610412598
3436.5249898,4960856.82612647,0.0001880754098279,14865964.0971837,0.0001007366913176,24773367.5453368,7.98662721943673e-05,34679418.6457881,6.89393005120564e-05,44586202.0590112,6.35057850672e-05,54492797.416791,5.93914042622707e-05,64399993.3788741,5.74064039052925e-05,24.9898777008057
3441.5762228,4960857.77730095,0.0001880182573984,14865964.2522457,0.0001006685049011,24773363.0904544,7.99077722991432e-05,34679409.8021656,6.90875052897697e-05,44586195.3980758,6.38016303839524e-05,54492800.0330976,5.95202659165462e-05,64400003.9693536,5.72462763722034e-05,24.9856033325195
