Time,fundamental_freq,fundamental_dis,3rd_freq,3rd_dis,5th_freq,5th_dis,7th_freq,7th_dis,9th_freq,9th_dis,11th_freq,11th_dis,13th_freq,13th_dis,Temp_Time,Temp
30.33448,-0.40651,0.09448,-0.06323,-0.05625,0.19315,-0.0434,-0.03204,-0.02172,0.04252,0.10961,-0.02355,0.01915,-0.05379,0.06027,79.55737,25.05338
30.72274,-0.43127,0.03755,-0.05399,-0.01612,0.0922,-0.03891,-0.04506,-0.00523,-0.07587,-0.00284,-0.11912,0.08467,-0.04356,0.07157,80.57133,25.05318
31.11121,-0.49293,0.02114,0.0681,-0.02268,0.1141,0.00628,-0.11681,-0.02989,0.06863,0.04758,-0.18707,0.0326,-0.4537,0.00577,81.58523,25.05308
31.49831,-0.47563,-0.01637,0.02592,-0.02305,0.11379,-0.04758,-0.15904,-0.04306,0.06214,0.03986,-0.14085,0.06234,-0.12064,0.0924,82.59924,25.05288
31.88961,-0.52286,0.03841,-0.00207,0.01451,0.08245,-0.01096,0.09765,0.00521,-0.12574,-0.01688,-0.05884,0.05399,-0.25982,0.01966,83.61321,25.05318
32.26951,-0.33936,0.10111,0.04246,-0.02643,-0.0091,0.00111,-0.10715,-0.00188,-0.03498,0.03339,-0.22176,0.01732,-0.28847,0.00583,84.62716,25.05328
32.65753,-0.44273,0.09969,0.06629,-0.02778,0.01876,-0.02322,0.06892,0.03671,-0.1666,0.07287,-0.20347,0.04093,-0.30595,0.06574,85.64114,25.05328
33.04313,-0.53294,0.07256,-0.02942,0.00735,0.08669,-0.02907,0.10332,0.02862,-0.03585,0.02435,-0.18124,0.03749,-0.47449,0.04669,86.65508,25.05318
33.43466,-0.40158,0.09807,-0.04821,-0.03224,0.13242,-0.01718,0.0273,-0.03795,-0.00802,0.03874,-0.15147,0.02439,-0.07967,0.04413,87.66902,25.05328
33.82195,-0.56689,0.1074,-0.01367,-0.01836,0.17338,0.00177,0.15581,0.01938,0.11664,0.1014,-0.02058,-0.00449,-0.1293,0.05314,88.68401,25.05368
34.20983,-0.5284,0.11066,-0.10157,-0.00698,0.13218,-0.05309,-0.03883,0.0756,0.06866,0.1347,-0.2134,0.02479,0.00536,0.07235,89.69796,25.05378
34.59579,-0.39944,0.12897,-0.11828,-0.00214,0.04309,-0.04187,0.1233,0.0035,-0.05108,0.07376,-0.18023,0.02676,-0.19524,0.01507,90.7119,25.05388
34.985,-0.466,0.0929,-0.00784,0.00615,0.11276,-0.03715,-0.12291,0.01042,-0.01757,0.00977,-0.19631,0.01004,-0.34455,0.03424,91.72589,25.05408
35.369,-0.46823,0.10663,0.03657,-0.02087,-0.00902,-0.06938,0.06116,0.00378,0.02833,-0.03828,-0.1302,0.06176,0.02269,0.05948,92.73984,25.05428
35.75411,-0.52992,0.09932,-0.01445,-0.03426,0.05983,-0.08329,0.13386,0.01334,0.06763,0.03694,-0.10165,0.05945,-0.17716,-0.00049163,93.7538,25.05398
36.13887,-0.42534,0.13354,0.04904,0.00551,0.18075,0.00244,0.05283,0.00624,0.08363,0.01073,-0.14134,0.02326,0.13113,0.02944,94.76776,25.05408
36.52844,-0.55596,0.12142,-0.05062,0.02367,0.09345,-0.0189,0.03601,0.01725,0.00636,0.07303,-0.15452,0.03093,0.10556,0.00918,95.78171,25.05428
36.91533,-0.49481,0.20136,-0.03251,0.00831,0.000996737,-0.05714,-0.02662,-0.0464,-0.07352,0.04881,-0.05523,0.000482835,-0.15083,0.05466,96.79568,25.05448
37.29854,-0.57434,0.14732,-0.0707,-0.01417,-0.05999,-0.02774,-0.01405,0.03289,-0.000610984,-0.03575,-0.1367,0.00214,-0.38782,-0.02024,97.80964,25.05448
37.6844,-0.52029,0.13954,-0.0164,-0.01233,0.02732,0.000342091,0.04861,0.06956,-0.0836,0.02227,-0.02381,0.04377,-0.27798,0.08375,98.82463,25.05438
38.06935,-0.611,0.0884,0.03741,0.01409,0.10748,-0.05228,0.04649,-0.03012,-0.01511,0.00309,-0.11569,-0.00636,-0.14142,-0.01302,99.8386,25.05428
38.45185,-0.57972,0.11977,0.09671,-0.04286,0.06186,-0.03131,0.10375,-0.04434,-0.13473,0.04307,-0.11219,0.00781,-0.24902,-0.03469,100.85256,25.05428
38.83924,-0.60398,0.14329,-0.00842,-0.0288,0.03354,0.0185,-0.03333,0.00197,0.00112,0.08474,-0.16154,0.04227,-0.21138,-0.07021,101.8665,25.05438
39.22785,-0.58281,0.16752,-0.00458,-0.01407,0.16515,-0.06161,-0.12604,-0.03889,-0.03542,0.02697,-0.16436,0.0349,-0.29398,0.07993,102.88046,25.05438
39.6176,-0.47567,0.14627,-0.06567,-0.00381,-0.02877,-0.01469,0.12711,-0.05698,-0.02931,0.01766,-0.20152,0.05069,-0.16041,-0.04114,103.89441,25.05428
40.00665,-0.57313,0.15307,0.08324,-0.01575,0.01739,-0.01152,-0.05938,0.000162091,0.00977,0.00949,-0.05789,0.07434,-0.21495,-0.04615,104.90836,25.05398
40.39391,-0.54498,0.1694,-0.03546,-0.01243,0.11805,-0.01003,-0.1475,0.02187,-0.05525,0.09406,-0.06622,0.07954,-0.31781,-0.05433,105.92233,25.05388
40.78087,-0.53836,0.14935,-0.10954,-0.04524,-0.01183,-0.01893,-0.04444,-0.00243,-0.04811,0.04354,-0.1674,0.02019,-0.08003,0.02242,106.93626,25.05368
41.17031,-0.67386,0.16218,-0.07397,-0.04914,0.11599,-0.04705,0.01677,0.03471,-0.11806,0.02318,-0.08516,0.02282,-0.33509,0.0649,107.95124,25.05388
41.56172,-0.67185,0.13944,0.0287,0.00441,-0.00171,-0.03066,0.07137,0.04303,0.06873,-0.02895,-0.06613,-0.00496,0.06053,0.04287,108.96518,25.05388
41.94956,-0.65917,0.1216,-0.07713,-0.01113,0.01629,-0.06551,-0.01717,-0.01588,-0.02062,0.03012,-0.14664,-0.00447,-0.10099,0.01353,109.97929,25.05418
42.33543,-0.76358,0.1113,-0.05301,-0.05774,0.02913,-0.0618,0.05998,-0.00264,0.04541,0.07311,-0.21374,0.04791,-0.29505,0.01338,110.99318,25.05388
42.7243,-0.5949,0.15265,-0.11993,0.000441814,0.05932,-0.03424,0.07636,0.02089,0.00479,0.01293,-0.12032,0.0173,-0.27697,0.03507,112.00711,25.05358
43.11252,-0.67917,0.18914,0.08544,-0.01118,0.07226,-0.0551,-0.07919,0.00582,-0.04872,0.08914,-0.09687,0.09724,-0.11868,0.04367,113.02107,25.05358
43.49788,-0.55105,0.15116,-0.06562,-0.03239,0.05393,-0.01839,0.00562,-0.00119,0.00397,0.02384,-0.16851,0.04386,-0.1241,-0.01534,114.03501,25.05358
43.88598,-0.556,0.20226,-0.07733,-0.01355,0.0754,-0.03256,-0.07505,0.00601,-0.17943,0.08168,-0.32571,0.00939,-0.15483,0.07712,115.04899,25.05368
44.2736,-0.66174,0.21648,-0.03137,-0.01209,0.03618,-0.04223,0.0607,-0.000492264,0.08703,0.02585,-0.20549,0.07536,-0.09211,0.04184,116.06297,25.05368
44.66483,-0.71056,0.19605,-0.11292,-0.0168,-0.02055,-0.0367,0.15748,0.01444,-0.06925,0.03945,-0.10476,0.0659,-0.10711,0.05583,117.07692,25.05418
45.0527,-0.7101,0.21293,-0.12882,-0.00741,0.02475,-0.02189,0.07463,0.02054,-0.04824,0.00118,-0.00397,-0.0447,-0.50134,-0.01682,118.09186,25.05438
45.44018,-0.83654,0.20194,-0.11114,-0.03959,0.11152,-0.03587,-0.02581,-0.04706,0.10515,0.06342,-0.0303,0.06177,-0.12805,0.0798,119.10584,25.05398
45.82939,-0.66592,0.23797,-0.04744,-0.05848,-0.07925,0.00333,-0.0205,0.07175,-0.08872,0.06774,-0.10534,0.05784,-0.3318,0.06735,120.11978,25.05378
46.21975,-0.74856,0.26425,0.03285,0.01005,0.02878,-0.05736,-0.04664,-0.01752,-0.03627,-0.01716,-0.25879,0.02564,-0.03799,0.01547,121.13474,25.05388
46.60774,-0.7736,0.22116,-0.04864,-0.0273,0.04572,-0.03569,-0.09596,-0.04213,-0.30834,-0.0384,-0.06713,0.05276,-0.20062,0.04446,122.14871,25.05398
46.99636,-0.68138,0.26062,-0.07517,0.01431,0.04032,-0.05814,-0.19648,-0.00679,0.05299,0.04727,-0.18487,0.04997,0.000565118,0.06957,123.16267,25.05378
47.38409,-0.7644,0.22104,-0.09522,-0.06092,0.1006,-0.03307,0.11371,0.01294,0.0337,0.00952,-0.19997,0.08759,-0.18343,-0.03016,124.1766,25.05348
47.77432,-0.74092,0.23296,-0.04547,-0.00372,0.04389,0.00938,-0.06094,-0.02051,-0.00197,0.02787,-0.04057,0.02374,-0.2434,0.00709,125.21531,25.05318
48.15766,-0.7166,0.22042,0.0545,0.01603,0.05115,-0.03369,-0.08574,0.00518,-0.04089,-0.00254,-0.18569,0.03232,-0.45238,0.05071,126.21666,25.05308
48.54302,-0.85345,0.25669,-0.00881,0.00117,-0.12523,-0.03727,0.01597,0.08998,-0.06864,0.02455,-0.09888,0.03541,-0.04305,0.03995,127.23804,25.05318
48.93242,-0.79615,0.26299,-0.07617,0.00276,0.07115,-0.01743,-0.04778,0.02787,0.00254,0.03779,-0.13445,0.00858,0.05852,0.03258,128.23549,25.05318
49.32304,-0.81916,0.25565,-0.05386,0.00704,0.06787,-0.04232,0.0156,-0.02121,-0.06122,0.13354,-0.168,0.06872,0.0286,-0.0055,129.24943,25.05298
49.71178,-0.69934,0.28566,-0.01228,-0.02888,0.07559,-0.04817,-0.11169,0.02114,0.01308,0.0862,-0.26502,0.03113,-0.61464,0.05627,130.26342,25.05308
50.099,-0.63061,0.31364,-0.11929,-0.01284,0.04682,0.0173,0.05545,-0.06675,0.14026,-0.03221,-0.12839,0.04437,0.11985,0.02003,131.27739,25.05288
50.48611,-0.8512,0.417,0.02949,-0.00959,0.05838,-0.06678,-0.02118,-0.03031,0.02772,0.01463,-0.31537,-0.00777,-0.53023,0.01892,132.29131,25.05298
50.88121,-0.44641,0.51234,0.0184,-0.03153,0.00227,0.02524,-0.02318,-0.01061,-0.12792,0.00262,-0.02806,0.05346,-0.22961,-2.6752e-05,133.30528,25.05288
51.27193,-0.46299,0.54459,0.02529,-0.04057,0.12566,-0.02366,0.07709,0.05728,0.01178,0.01828,-0.22795,0.08487,-0.24906,0.01644,134.31924,25.05298
51.65905,-0.40241,0.51672,0.05104,0.02396,0.10345,-0.07995,0.00337,0.06078,-0.03039,0.09396,-0.21907,0.03223,-0.36438,0.0603,135.33321,25.05288
52.05155,-0.34983,0.48694,-0.04891,-0.02066,0.00329,-0.03595,0.07802,-0.00858,-0.00427,0.03101,-0.21137,0.00637,-0.25993,0.09006,136.3472,25.05298
52.44397,-0.43743,0.52285,0.03718,0.00425,0.04484,-0.0088,-0.05371,0.00249,-0.07592,0.02798,-0.23435,0.01231,-0.18621,0.07359,137.36115,25.05318
52.82906,-0.44867,0.51571,-0.07168,-0.01623,0.02274,-0.02465,-0.01009,-0.01845,0.000477463,0.01093,-0.24272,0.02113,-0.3083,0.00657,138.36053,25.05338
53.21658,-0.38817,0.48771,-0.12913,0.01302,0.08024,-0.08415,-0.06088,0.00199,-0.10121,0.02698,-0.30073,0.04907,-0.23288,-0.0169,139.37449,25.05358
53.60278,-0.38104,0.50436,-0.04381,0.02622,0.08811,-0.02911,0.05262,0.00812,0.05886,0.01204,-0.21436,0.04187,-0.27546,0.02262,140.38842,25.05358
53.99135,-0.28541,0.48282,-0.07027,0.00174,-0.06309,-0.03213,-0.04361,0.03733,0.02884,0.0414,-0.25388,0.04329,-0.32212,-0.01941,141.4024,25.05368
54.37902,-0.48133,0.47861,-0.19001,0.02428,-0.01293,-0.03745,-0.22968,-0.02144,0.03677,0.09598,-0.1513,0.01806,-0.28778,0.01746,142.41633,25.05368
54.76634,-0.44064,0.51284,0.05709,-0.00763,0.06294,-0.09633,0.0436,-0.01338,0.005,0.03213,-0.18719,0.05282,-0.31959,-0.05429,143.43029,25.05358
55.15197,-0.28971,0.53252,-0.05393,-0.00263,0.13749,-0.04623,-0.06294,0.02379,0.00768,-0.000811958,-0.10879,-0.02969,-0.15906,0.03458,144.44424,25.05348
55.54066,-0.40463,0.51115,-0.08268,0.03121,0.03736,-0.04099,0.09199,-0.00696,-0.00032392,0.04123,-0.17891,0.06631,-0.23208,-0.04862,145.45826,25.05328
55.92928,-0.38679,0.51372,-0.10492,0.00352,0.14265,-0.02681,0.09813,0.03042,-0.03067,0.02154,-0.03292,0.06273,-0.3065,0.05563,146.4722,25.05328
56.31877,-0.33636,0.53394,-0.0493,-0.000706089,0.0886,-0.0862,-0.01153,-0.0587,-0.02787,0.000738464,-0.20773,0.10453,-0.2649,0.06159,147.48614,25.05348
56.70365,-0.37415,0.51788,-0.06027,-0.04042,-0.02628,-0.04955,-0.11261,-0.01547,-0.08153,0.06345,-0.18668,0.02173,-0.24098,-0.05218,148.50111,25.05348
