Time,fundamental_dis,fundamental_freq,3rd_dis,3rd_freq,5th_dis,5th_freq,7th_dis,7th_freq,9th_dis,9th_freq,11th_dis,11th_freq,13th_dis,13th_freq,Temp
681.8708803,0.0002615507345945,5001559.79667107,6.50018964814602e-06,14991215.3707731,1.78231719776016e-05,24981122.3313574,2.84309603593548e-05,34967863.7509797,4.38001923957183e-05,44963412.1709775,2.19508472231314e-05,54956101.0715764,3.2907078236019e-05,64945996.3937174,24.9920120239258
687.2508791,0.0002616102860588,5001559.77704232,6.5002002987956e-06,14991215.3322792,1.78138411555799e-05,24981122.2764864,2.84384858675064e-05,34967863.6175795,4.38387125007941e-05,44963412.4859693,2.19614292358568e-05,54956101.0174817,3.2937043819466e-05,64945996.2318874,25.0028343200684
692.3008747,0.0002615880862337,5001559.78070415,6.50053471922472e-06,14991215.3246273,1.78375102882676e-05,24981122.471373,2.84416914112736e-05,34967863.5781735,4.38013563463473e-05,44963413.2810609,2.1963329682931e-05,54956100.8427489,3.29358884907122e-05,64945997.0501436,25.0127029418945
697.3508695,0.0002616120311767,5001559.7942227,6.50292497153022e-06,14991215.2841292,1.78585620517748e-05,24981122.3823647,2.84446217333836e-05,34967863.3911103,4.38191309422585e-05,44963412.5721622,2.19591983714832e-05,54956100.6226967,3.29453817681255e-05,64945995.7404114,25.0057983398438
702.3908699,0.0002615560238747,5001559.87978764,6.49797252625236e-06,14991215.2811125,1.78648399115379e-05,24981122.3541498,2.84407920877464e-05,34967863.2873338,4.38202115111932e-05,44963412.0276208,2.1956051328051e-05,54956100.4589758,3.29859555056378e-05,64945995.9351072,24.9958038330078
707.450866,0.0002615896718872,5001559.83087787,6.50004511801756e-06,14991215.2603025,1.7907682275755e-05,24981122.2913201,2.84206115863942e-05,34967863.4472468,4.37225837286363e-05,44963412.0734878,2.19512764847393e-05,54956100.8061306,3.29383579741695e-05,64945996.9785009,25.0097694396973
712.5109103,0.0002615754279269,5001559.81466993,6.49983070714897e-06,14991215.2432496,1.7852431418289e-05,24981122.3920425,2.84194356834222e-05,34967863.5462111,4.37981295993844e-05,44963412.9147173,2.19735443336995e-05,54956100.4362694,3.29037281211372e-05,64945995.18638,25.019645690918
717.5608571,0.0002615729666383,5001559.83869794,6.50091743442355e-06,14991215.2027992,1.78837761890529e-05,24981121.9671375,2.84316978007624e-05,34967863.3686549,4.38077510444691e-05,44963412.2219682,2.19542699608803e-05,54956100.5624659,3.29480251974083e-05,64945995.6873773,24.9991664886475
722.6108554,0.0002615329148406,5001559.96594595,6.49945139604291e-06,14991215.2169382,1.78876160526866e-05,24981122.4450805,2.84247665111517e-05,34967863.4692824,4.38373313045714e-05,44963412.7311184,2.19656550325854e-05,54956100.4360824,3.28924803447555e-05,64945995.4650696,25.0132961273193
727.7208505,0.000261565995488,5001559.94722047,6.49957684732789e-06,14991215.1946533,1.78913201567015e-05,24981122.175953,2.843157084661e-05,34967863.39346,4.37771472367218e-05,44963412.7705159,2.19605357694115e-05,54956100.4935302,3.29698992952857e-05,64945995.8297982,25.0107498168945
732.770847,0.0002615620786194,5001559.96483566,6.49839147338925e-06,14991215.1794544,1.78894863916257e-05,24981121.9924547,2.84175869425773e-05,34967863.4421894,4.37871092627089e-05,44963412.9901287,2.19536135922531e-05,54956100.5264882,3.29265612524222e-05,64945996.637558,25.0070266723633
737.8115376,0.0002615746134386,5001559.91449369,6.50032707058136e-06,14991215.1953076,1.78904155233743e-05,24981122.2706188,2.84285750181597e-05,34967863.3011942,4.37970332994629e-05,44963412.6860394,2.19436480023852e-05,54956100.3922821,3.29246414953243e-05,64945995.5784634,24.9954605102539
742.8715349,0.0002615732048245,5001559.93423877,6.49901028005317e-06,14991215.1807515,1.78871811850578e-05,24981122.293264,2.84316639947482e-05,34967863.2485677,4.3787224729314e-05,44963412.4643472,2.19485170429314e-05,54956100.5543868,3.29670342040719e-05,64945995.7057313,24.9900856018066
